Sl.No,State/UT,Convicts - Male,Convicts - Female,Convicts - Transgender,Convicts - Total,Undertrials - Male,Undertrials - Female,Undertrials - Transgender,Undertrials - Total,Detenues - Male,Detenues - Female,Detenues - Transgender,Detenues - Total,Others - Male,Others - Female,Others - Transgender,Others - Total,Total - Male,Total - Female,Total - Transgender,Total
1,ANDHRA PRADESH,2009,92,0,2101,5505,312,1,5818,9,0,0,9,6,0,0,6,7529,404,1,7934
2,ARUNACHAL PRADESH,125,4,0,129,116,5,0,121,0,0,0,0,0,0,0,0,241,9,0,250
3,ASSAM,2379,65,0,2444,7215,353,2,7570,0,0,0,0,0,0,0,0,9594,418,2,10014
4,BIHAR,7014,281,0,7295,56676,2779,0,59455,1,0,0,1,0,0,0,0,63691,3060,0,66751
5,CHHATTISGARH,7401,359,0,7760,11734,539,0,12273,0,0,0,0,11,0,0,11,19146,898,0,20044
6,GOA,62,0,0,62,403,17,0,420,0,0,0,0,0,0,0,0,465,17,0,482
7,GUJARAT,4428,182,4,4614,11088,371,3,11462,364,8,0,372,0,0,0,0,15880,561,7,16448
8,HARYANA,5686,189,1,5876,17607,575,4,18186,28,0,0,28,0,0,0,0,23321,764,5,24090
9,HIMACHAL PRADESH,774,22,0,796,1842,71,0,1913,0,0,0,0,0,0,0,0,2616,93,0,2709
10,JHARKHAND,4787,218,0,5005,15594,649,0,16243,2,0,0,2,0,0,0,0,20383,867,0,21250
11,KARNATAKA,3573,184,0,3757,11056,368,4,11428,14,0,0,14,6,0,0,6,14649,552,4,15205
12,KERALA,2138,44,0,2182,4745,90,0,4835,7,0,0,7,23,0,0,23,6913,134,0,7047
13,MADHYA PRADESH,18463,791,2,19256,27975,1099,2,29076,25,0,0,25,127,1,0,128,46590,1891,4,48485
14,MAHARASHTRA,4672,147,2,4821,30075,1156,19,31250,240,0,0,240,0,0,0,0,34987,1303,21,36311
15,MANIPUR,85,2,0,87,434,25,0,459,4,0,0,4,0,0,0,0,523,27,0,550
16,MEGHALAYA,205,3,0,208,802,17,0,819,0,0,0,0,0,0,0,0,1007,20,0,1027
17,MIZORAM,454,16,0,470,562,67,0,629,0,0,0,0,1,1,0,2,1017,84,0,1101
18,NAGALAND,130,0,0,130,312,14,0,326,36,8,0,44,0,0,0,0,478,22,0,500
19,ODISHA,2541,78,0,2619,17497,661,2,18160,19,0,0,19,1,0,0,1,20058,739,2,20799
20,PUNJAB,6256,274,0,6530,18341,1059,0,19400,0,0,0,0,0,0,0,0,24597,1333,0,25930
21,RAJASTHAN,4797,150,1,4948,17458,466,0,17924,4,0,0,4,18,0,0,18,22277,616,1,22894
22,SIKKIM,131,1,0,132,298,4,0,302,0,0,0,0,0,0,0,0,429,5,0,434
23,TAMIL NADU,4293,183,0,4476,11090,490,1,11581,1721,53,1,1775,3,0,0,3,17107,726,2,17835
24,TELANGANA,1993,125,0,2118,4436,317,0,4753,371,15,0,386,0,0,0,0,6800,457,0,7257
25,TRIPURA,393,19,0,412,543,16,0,559,10,0,0,10,4,0,0,4,950,35,0,985
26,UTTAR PRADESH,25618,1077,4,26699,86519,3748,7,90274,221,1,0,222,5,0,0,5,112363,4826,11,117200
27,UTTARAKHAND,2119,87,1,2207,4422,193,2,4617,0,0,0,0,0,0,0,0,6541,280,3,6824
28,WEST BENGAL,2464,161,0,2625,20373,1016,9,21398,0,0,0,0,0,0,0,0,22837,1177,9,24023
NA,TOTAL (STATES),114990,4754,15,119759,384718,16477,56,401251,3076,85,1,3162,205,2,0,207,502989,21318,72,524379
29,Andaman and Nicobar Islands,57,4,0,61,87,2,0,89,0,0,0,0,0,0,0,0,144,6,0,150
30,CHANDIGARH,168,6,0,174,670,40,0,710,0,0,0,0,0,0,0,0,838,46,0,884
31,Dadra and Nagar Haveli and Daman and Diu,8,0,0,8,174,3,0,177,0,0,0,0,0,0,0,0,182,3,0,185
32,DELHI,1462,46,0,1508,15641,429,6,16076,10,1,0,11,41,0,0,41,17154,476,6,17636
33,JAMMU & KASHMIR,172,2,0,174,4339,153,0,4492,248,0,0,248,2,0,0,2,4761,155,0,4916
34,LADAKH,3,0,0,3,13,0,0,13,0,0,0,0,0,0,0,0,16,0,0,16
35,LAKSHADWEEP,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,5,0,0,5
36,PUDUCHERRY,85,0,0,85,194,8,0,202,11,0,0,11,0,0,0,0,290,8,0,298
NA,TOTAL (UTs),1955,58,0,2013,21123,635,6,21764,269,1,0,270,43,0,0,43,23390,694,6,24090
NA,TOTAL (ALL-INDIA),116945,4812,15,121772,405841,17112,62,423015,3345,86,1,3432,248,2,0,250,526379,22012,78,548469
